run_id,scenario,db,initial_stock,started_at,ended_at,duration_s,compensations,users,hot_skus,late_fail_prob,orders_ok,rolled_back,abort,stale_reads,oversell_events,orphan_payments
2025-11-05T12:06:38.931533Z_mongodb,rollback,mongodb,50,2025-11-05T12:06:05.870232Z,2025-11-05T12:06:38.931533Z,30,9597,100,50,0.2,8498,0,0,18095,0,0
2025-11-05T12:05:17.818082Z_mongodb,rollback,mongodb,50,2025-11-05T12:04:43.262754Z,2025-11-05T12:05:17.818082Z,30,9639,100,50,0.2,8408,0,0,18047,0,0
2025-11-05T12:05:58.256611Z_mongodb,rollback,mongodb,50,2025-11-05T12:05:24.507573Z,2025-11-05T12:05:58.256611Z,30,9708,100,50,0.2,8689,0,0,18397,0,0
2025-11-05T11:49:47.935489Z_postgres,rollback,postgres,50,2025-11-05T11:49:17.871031Z,2025-11-05T11:49:47.935489Z,30,0,100,50,0.2,1787,51999,7949,0,0,0
2025-11-05T11:48:47.784636Z_postgres,rollback,postgres,50,2025-11-05T11:48:17.663124Z,2025-11-05T11:48:47.784636Z,30,0,100,50,0.2,1782,58407,7956,0,0,0
2025-11-05T11:49:17.860772Z_postgres,rollback,postgres,50,2025-11-05T11:48:47.794982Z,2025-11-05T11:49:17.860772Z,30,0,100,50,0.2,1776,45635,8406,0,0,0
2025-11-05T12:02:19.153274Z_cassandra,rollback,cassandra,50,2025-11-05T12:01:48.409092Z,2025-11-05T12:02:19.153274Z,30,3051,100,50,0.2,12572,0,0,15623,50,0
2025-11-05T12:01:03.018170Z_cassandra,rollback,cassandra,50,2025-11-05T12:00:32.294152Z,2025-11-05T12:01:03.018170Z,30,3088,100,50,0.2,12404,0,0,15492,50,0
2025-11-05T11:59:47.855666Z_cassandra,rollback,cassandra,50,2025-11-05T11:59:17.172050Z,2025-11-05T11:59:47.855666Z,30,3193,100,50,0.2,12866,0,0,16059,50,0
2025-11-05T12:05:17.818082Z_mongodb,rollback,mongodb,50,2025-11-05T12:04:43.262754Z,2025-11-05T12:05:17.818082Z,30.0,9639,100,50,0.2,8408,0,0,18047,0,0
2025-11-05T12:06:38.931533Z_mongodb,rollback,mongodb,50,2025-11-05T12:06:05.870232Z,2025-11-05T12:06:38.931533Z,30.0,9597,100,50,0.2,8498,0,0,18095,0,0
2025-11-05T12:05:58.256611Z_mongodb,rollback,mongodb,50,2025-11-05T12:05:24.507573Z,2025-11-05T12:05:58.256611Z,30.0,9708,100,50,0.2,8689,0,0,18397,0,0
2025-11-05T11:49:47.935489Z_postgres,rollback,postgres,50,2025-11-05T11:49:17.871031Z,2025-11-05T11:49:47.935489Z,30.0,0,100,50,0.2,1787,51999,7949,0,0,0
2025-11-05T11:49:17.860772Z_postgres,rollback,postgres,50,2025-11-05T11:48:47.794982Z,2025-11-05T11:49:17.860772Z,30.0,0,100,50,0.2,1776,45635,8406,0,0,0
2025-11-05T11:48:47.784636Z_postgres,rollback,postgres,50,2025-11-05T11:48:17.663124Z,2025-11-05T11:48:47.784636Z,30.0,0,100,50,0.2,1782,58407,7956,0,0,0
2025-11-05T11:59:47.855666Z_cassandra,rollback,cassandra,50,2025-11-05T11:59:17.172050Z,2025-11-05T11:59:47.855666Z,30.0,3193,100,50,0.2,12866,0,0,16059,50,0
2025-11-05T12:02:19.153274Z_cassandra,rollback,cassandra,50,2025-11-05T12:01:48.409092Z,2025-11-05T12:02:19.153274Z,30.0,3051,100,50,0.2,12572,0,0,15623,50,0
2025-11-05T12:01:03.018170Z_cassandra,rollback,cassandra,50,2025-11-05T12:00:32.294152Z,2025-11-05T12:01:03.018170Z,30.0,3088,100,50,0.2,12404,0,0,15492,50,0
